pas_lineametro,pas_periodo,pas_valor
METRO_CUENCA_7_INTEGRADOS,202003,311253
METRO_TRANVIA,202003,591925
METRO_LINEA_H,202003,49381
METRO_LINEA_B,202003,1452835
METRO_LINEA_L,202003,27637
METRO_CUENCA_9_INTEGRADOS,202003,88217
METRO_CUENCA_6,202003,967372
METRO_LINEA_A,202003,9175430
METRO_LINEA_K,202003,463827
METRO_CUENCA_5_INTEGRADOS,202003,296370
METRO_CUENCA_7_INTEGRADOS,201903,475901
METRO_TRANVIA,201903,879642
METRO_LINEA_H,201903,66372
METRO_LINEA_J,201903,435791
METRO_LINEA_A,201903,13932274
METRO_LINEA_L,201903,78614
METRO_LINEA_2_BUSES,201903,361928
METRO_CUENCA_6,201903,1307247
METRO_CUENCA_5_INTEGRADOS,201903,520615
METRO_CUENCA_3,201903,730587
METRO_LINEA_B,201903,2349728
METRO_LINEA_1_BUSES,201903,2213755
METRO_CUENCA_9_INTEGRADOS,201903,153693
METRO_LINEA_K,201903,678132
METRO_CUENCA_5_INTEGRADOS,201803,403962
METRO_CUENCA_9_INTEGRADOS,201803,122185
METRO_LINEA_1_BUSES,201803,2081501
METRO_CUENCA_3,201803,627069
METRO_CUENCA_7_INTEGRADOS,201803,395625
METRO_LINEA_K,201803,642933
METRO_CUENCA_6,201803,1075525
METRO_LINEA_B,201803,2357619
METRO_TRANVIA,201803,702173
METRO_LINEA_2_BUSES,201803,330756
METRO_LINEA_L,201803,102878
METRO_LINEA_H,201803,60052
METRO_LINEA_J,201803,433843
METRO_LINEA_A,201803,14136660
METRO_LINEA_L,201703,64399
METRO_CUENCA_9_INTEGRADOS,201703,135997
METRO_LINEA_K,201703,644832
METRO_LINEA_B,201703,2789789
METRO_LINEA_J,201703,438403
METRO_LINEA_1_BUSES,201703,2206436
METRO_LINEA_A,201703,15612156
METRO_CUENCA_7_INTEGRADOS,201703,421567
METRO_CUENCA_5_INTEGRADOS,201703,443032
METRO_TRANVIA,201703,585961
METRO_CUENCA_3,201703,628027
METRO_LINEA_H,201703,55608
METRO_LINEA_2_BUSES,201703,364736
METRO_CUENCA_6,201703,1086153
METRO_LINEA_K,201603,612385
METRO_CUENCA_6,201603,1005938
METRO_TRANVIA,201603,8829
METRO_LINEA_1_BUSES,201603,1865614
METRO_LINEA_A,201603,14118124
